original_index,review_text,polarity,rating,kfold_polarity,kfold_rating
97262,Perfeito....chegou antes do prazo.....,1.0,5,1,1
72931,Foi uma ótima compra! Chegou antes mesmo do prazo e o produto é igual o que estava no anúncio. Correspondeu as expectativas!,1.0,5,1,1
19659,Recebi muito rapido e um otimo custo beneficio,1.0,5,1,1
43054,Recomendo,1.0,5,1,1
59202,"Só veio uma capa comprei 3 aí paguei. Mais de 100 reais por uma capa
",0.0,1,1,1
39669,O produto foi entregue em tempo mas ao tirar do pacote e abrir quebrou.,,3,-1,1
40625,tudo conforme combinado,1.0,5,1,1
4065,Tudo ok!,1.0,5,1,1
55827,Muito boa gostei obrigado,1.0,4,1,1
34639,Tudo dentro do normal. nada de excepcional.,1.0,4,1,1
10244,"Comprei um relógio por ORIGINAL, além de vir falsificado veio com defeito, não funciona, e ainda me cobraram garantia estendida ",0.0,1,1,1
69690,Produto chegou em perfeito Estado. Bem embalado e protegido.,1.0,5,1,1
64847,O produto veio sem manuai ensinando como montar.,0.0,2,1,1
44470,Muito bom,1.0,5,1,1
20491,Uma loja aroma de comprar e o produto escelente,1.0,4,1,1
3983,Sucesso na compra. Amei o produto,1.0,5,1,1
41422,"Comprei dois produtos, porém somente um chegou o outro mostra que o produto foi entregue, mad não foi.
Pedido 03-497510804
Skate ",,3,-1,1
69172,"Apesar de constar como entregue no histórico de pedidos, nada foi entregue.",0.0,1,1,1
89233,Comprei dois arranhadores e somente um foi entregue,0.0,1,1,1
55805,Chegou bem antes do tempo e em otimas condicoes,1.0,4,1,1
3690,Até o momento não houve o recebimento do produto,0.0,1,1,1
88384,Era para receber o produto até 19/3 e age hoje (23/3) não recebi e não sei o motivo,0.0,1,1,1
82908,otimo vendedor,1.0,5,1,1
68216,Foi entregue antes do prazo.,1.0,4,1,1
31364,"A entrega foi demorada mas dentro do prazo.
Mas a mochila não é o eu esperava,por ser de marca eu achei muito simples , não gostei nem um pouco do produto.",0.0,1,1,1
